line_source,date,n,won,pnl,legs
sportsbook (proxy),2026-06-07,3,0,-1,Drohan M3.5=4W + Cantillo L5.5=7L + Alcantara L4.5=7L
sportsbook (proxy),2026-06-08,3,0,-1,Rodriguez L5.5=6L + Hancock M4.5=3L + Abbott L4.5=6L
sportsbook (proxy),2026-06-09,3,0,-1,Alvarez M4.5=4L + Melton L4.5=5L + Giolito L4.5=3W
sportsbook (proxy),2026-06-09,3,0,-1,Gallen L4.5=3W + Rea M3.5=2L + Cole L5.5=4W
sportsbook (proxy),2026-06-09,3,0,-1,Cease M6.5=11W + Rogers L4.5=3W + Skenes L6.5=7L
sportsbook (proxy),2026-06-10,3,0,-1,Perkins M4.5=4L + Scherzer L3.5=4L + Singer L4.5=5L
sportsbook (proxy),2026-06-10,3,1,5.0,Valdez L5.5=2W + Lambert M4.5=6W + Ray L5.5=3W
sportsbook (proxy),2026-06-11,3,1,5.0,Dobbins M3.5=5W + Phillips M3.5=5W + Keller L4.5=3W
sportsbook (proxy),2026-06-11,3,0,-1,Kelly L4.5=1W + Feltner L3.5=3W + Scott L5.5=6L
sportsbook (proxy),2026-06-12,3,0,-1,Avila M3.5=0L + Gray L5.5=7L + Miller M4.5=7W
sportsbook (proxy),2026-06-12,3,0,-1,Jump L5.5=6L + Kay L4.5=7L + Bibee L5.5=8L
pick'em sim -0.5 soft,2026-06-07,3,0,-1,Drohan M3.0=4W + Castillo M4.0=5W + Vásquez M3.0=3L
pick'em sim -0.5 soft,2026-06-07,3,1,5.0,McGreevy M3.0=5W + Soroka M4.0=6W + Cameron M4.0=7W
pick'em sim -0.5 soft,2026-06-07,3,0,-1,Cantillo L5.5=7L + Cavalli M4.0=2L + Prielipp M4.0=7W
pick'em sim -0.5 soft,2026-06-07,3,0,-1,Freeland M3.0=2L + Jump M3.5=3L + Alcantara L4.5=7L
pick'em sim -0.5 soft,2026-06-09,3,0,-1,Alvarez M4.0=4L + Rea M3.0=2L + Kolek M3.0=3L
pick'em sim -0.5 soft,2026-06-09,3,1,5.0,Sugano M2.0=3W + Ureña M4.0=7W + Ginn M4.0=5W
pick'em sim -0.5 soft,2026-06-09,3,1,5.0,May M4.0=6W + Burns M6.0=7W + Cease M6.5=11W
pick'em sim -0.5 soft,2026-06-09,3,0,-1,Eovaldi M4.5=3L + Martinez M3.0=2L + Meyer M5.0=5L
pick'em sim -0.5 soft,2026-06-10,3,0,-1,Perkins M4.0=4L + Lambert M4.0=6W + Pallante M3.0=5W
pick'em sim -0.5 soft,2026-06-10,3,0,-1,Sproat M4.0=3L + Griffin M4.0=5W + Lugo M4.0=2L
pick'em sim -0.5 soft,2026-06-11,3,1,5.0,Dobbins M3.0=5W + Rocker M2.5=3W + Phillips M3.5=5W
pick'em sim -0.5 soft,2026-06-11,3,0,-1,Wacha M4.0=2L + Montero M3.0=4W + Kelly L4.5=1W
pick'em sim -0.5 soft,2026-06-12,3,0,-1,Avila M3.0=0L + Miller M4.0=7W + Aldegheri M2.5=4W
pick'em sim -0.5 soft,2026-06-12,3,0,-1,Littell M3.0=0L + Ashcraft M5.0=4L + Assad M3.0=5W
pick'em sim -0.5 soft,2026-06-12,3,0,-1,Flaherty M4.0=1L + Strider M5.0=3L + Rodriguez L5.5=3W
pick'em sim -0.5 soft,2026-06-12,3,0,-1,Roupp M5.0=5L + Gray L5.0=7L + Leahy L4.5=5L
pick'em sim +0.0,2026-06-07,3,0,-1,Drohan M3.5=4W + Cantillo L6.0=7L + Jump M4.0=3L
pick'em sim +0.0,2026-06-07,3,0,-1,Alcantara L5.0=7L + Burrows L5.5=3W + Castillo M4.5=5W
pick'em sim +0.0,2026-06-08,3,0,-1,Hancock M4.0=3L + Rodriguez L5.5=6L + Abbott L4.5=6L
pick'em sim +0.0,2026-06-09,3,0,-1,Alvarez M4.5=4L + Melton L4.5=5L + Gallen L4.5=3W
pick'em sim +0.0,2026-06-09,3,0,-1,Rea M3.5=2L + Cole L5.5=4W + Cease M7.0=11W
pick'em sim +0.0,2026-06-10,3,0,-1,Perkins M4.5=4L + Scherzer L3.5=4L + Singer L4.5=5L
pick'em sim +0.0,2026-06-10,3,0,-1,Ohtani M6.0=6L + Valdez L5.5=2W + Lambert M4.5=6W
pick'em sim +0.0,2026-06-11,3,0,-1,Dobbins M3.5=5W + Rocker M3.0=3L + Phillips M4.0=5W
pick'em sim +0.0,2026-06-11,3,1,5.0,Kelly L5.0=1W + Keller L5.0=3W + Feltner L3.5=3W
pick'em sim +0.0,2026-06-12,3,0,-1,Avila M3.5=0L + Gray L5.5=7L + Miller M4.5=7W
pick'em sim +0.0,2026-06-12,3,0,-1,Aldegheri M3.0=4W + Jump L5.5=6L + Kay L4.5=7L
pick'em sim +0.0,2026-06-12,3,0,-1,Bibee L5.5=8L + Lodolo L4.5=5L + Ryan L6.5=8L
pick'em sim +0.5 tight,2026-06-07,3,0,-1,Drohan M4.0=4L + Cantillo L6.5=7L + Alcantara L5.5=7L
pick'em sim +0.5 tight,2026-06-07,3,0,-1,Burrows L6.0=3W + Castillo M5.0=5L + McDonald L5.5=6L
pick'em sim +0.5 tight,2026-06-08,3,0,-1,Rodriguez L6.0=6L + Corbin L4.5=3W + Hancock M4.5=3L
pick'em sim +0.5 tight,2026-06-09,3,0,-1,Alvarez M5.0=4L + Melton L5.0=5L + Giolito L4.5=3W
pick'em sim +0.5 tight,2026-06-09,3,0,-1,Lauer L5.5=5W + Gallen L5.0=3W + Rea M4.0=2L
pick'em sim +0.5 tight,2026-06-09,3,0,-1,Cole L6.0=4W + Rogers L4.5=3W + Skenes L7.0=7L
pick'em sim +0.5 tight,2026-06-10,3,0,-1,Perkins M5.0=4L + Scherzer L4.0=4L + Lorenzen L4.5=7L
pick'em sim +0.5 tight,2026-06-10,3,0,-1,King L7.5=3W + Luzardo L6.5=8L + Valdez L6.0=2W
pick'em sim +0.5 tight,2026-06-10,3,0,-1,Singer L5.0=5L + Imanaga L6.5=7L + Lambert M5.0=6W
pick'em sim +0.5 tight,2026-06-11,3,1,5.0,Dobbins M4.0=5W + Kelly L5.5=1W + Keller L5.5=3W
pick'em sim +0.5 tight,2026-06-12,3,0,-1,Avila M4.0=0L + Rodriguez L6.5=3W + Gray L6.0=7L
pick'em sim +0.5 tight,2026-06-12,3,0,-1,Leahy L5.5=5W + Miller M5.0=7W + Jump L6.0=6L
pick'em sim +0.5 tight,2026-06-12,3,0,-1,Kay L5.0=7L + Bibee L6.0=8L + Lodolo L5.0=5L
pick'em sim +0.5 tight,2026-06-12,3,0,-1,Ryan L7.0=8L + Alcantara L5.5=7L + Sasaki L6.5=4W
